barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({37, 41, 10, 9, 44, 15, 18, 25, 29}), frozenset({37, 41, 10, 9, 15, 18, 23, 25, 29}), frozenset({37, 41, 10, 9, 15, 18, 21, 23, 29}), frozenset({37, 39, 9, 10, 41, 15, 18, 21, 29})]",4,"[[15, 17, 19], [15, 19, 17], [21, 19, 17], [21, 17, 19]]","[{17}, {26}, {30}, {20}]"
"[frozenset({34, 37, 7, 40, 45, 14, 46, 16, 20})]",1,"[[15, 19, 19]]","[{26, 21, 30}]"
"[frozenset({37, 7, 9, 13, 45, 15, 22, 25, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({32, 35, 37, 7, 39, 11, 16, 21, 29})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({35, 37, 7, 11, 44, 14, 20, 23, 28})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({35, 10, 11, 42, 44, 15, 22, 25, 29}), frozenset({35, 9, 10, 42, 44, 15, 22, 25, 29})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({39, 9, 10, 12, 44, 46, 18, 25, 31})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({32, 37, 40, 12, 13, 22, 25, 27, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({7, 44, 46, 14, 20, 23, 26, 28, 30}), frozenset({37, 7, 44, 14, 46, 20, 23, 28, 30}), frozenset({37, 7, 44, 46, 15, 14, 20, 28, 30}), frozenset({36, 37, 7, 44, 14, 46, 20, 28, 30}), frozenset({36, 37, 7, 44, 46, 14, 17, 20, 28})]",5,"[[23, 17, 17], [15, 17, 19], [15, 21, 19], [15, 17, 21], [23, 17, 17]]","[{29}, {26, 13, 29}, {26}, {13}, {29}]"
"[frozenset({37, 40, 9, 45, 14, 17, 20, 28, 31})]",1,"[[21, 17, 15]]",[{29}]
