trial,reward,trajectory
1,1,31 37 42 47 49 2
2,0,2 49 47 42 37 31 26 21 25 20 24 19 24 29 35 40 44 39 43 48 3
3,0,3 48 3 48 33 48 33 48 43 39 44 40 35 29 24 20 25 21 26 22 18 22 27 22 26 21 17 21 25 21 17 13 10 7 5 4 1
4,0,1 4 6 8 10 13 17 21 26 31 37 31 36 41 46 42 47 49 2
5,0,2 49 2 49 38 49 47 42 37 31 26 22 26 21 17 13 10 7 5 4 1
6,1,1 4 5 7 9 7 10 13 17 21 26 31 37 42 47 49 2 49 2
7,0,2 49 47 42 37 31 26 22 27 22 18 22 26 31 26 31 26 21 26 31 37 31 37 31 36 31 26 22 26 21 26 31 26 31 26 31 37 31 37 42 47 49 2 49 2 49 38 49 47 42 37 31 26 21 17 13 10 7 5 4 1
8,0,1 4 5 7 10 13 17 21 25 20 24 19 23 19 24 29 35 40 44 39 43 48 3
9,0,3 48 3 48 43 39 44 40 35 29 24 20 25 21 26 31 37 42 47 49 2
10,1,2 49 47 42 37 31 36 31 26 21 26 21 26 21 26 22 18 22 26 21 17 13 10 7 5 4 1
11,1,1 4 5 7 10 13 17 21 26 31 36 41 36 31 37 42 47 49 2
12,1,2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
13,1,1 4 6 4 5 7 10 13 17 21 26 31 37 42 47 49 2
14,1,2 49 2 49 47 42 37 31 26 21 17 21 26 22 26 22 26 31 37 42 47 49 2 49 38 49 2 49 47 42 46 42 37 31 26 21 25 20 24 19 24 29 35 40 44 39 43 48 3
15,0,3 48 3 48 3 48 33 48 3 48 43 48 43 39 44 40 35 29 24 20 25 21 26 31 37 42 47 49 2
16,1,2 49 47 42 37 31 26 21 26 21 25 21 17 13 10 7 5 4 1
17,1,1 4 1 4 1 4 1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
18,0,2 49 47 42 37 31 26 21 26 22 18 22 27 22 18 22 26 31 37 42 47 49 2 49 2 49 38 49 47 42 37 31 26 21 25 20 24 19 23 19 24 29 35 40 44 39 43 48 3
19,1,3 48 3 48 3 48 3 48 3 48 43 39 44 40 35 29 24 20 25 21 26 31 37 42 47 49 2
20,1,2 49 47 42 47 42 37 31 26 21 17 13 10 7 5 4 1
21,1,1 4 1 4 1 4 5 7 10 13 17 21 26 31 26 31 37 42 47 49 2
22,0,2 49 47 42 46 41 36 31 26 31 37 42 47 49 2 49 38 49 38 49 47 42 37 31 26 21 25 21 25 20 24 29 24 29 24 29 24 29 24 29 35 40 44 39 43 48 3
