trial,reward,trajectory
23,1,3 48 3 48 3 48 3 48 43 39 44 40 44 40 35 29 24 20 25 21 26 22 27 22 26 21 26 31 37 42 47 49 2
24,0,2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
25,1,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
26,1,2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
27,1,1 4 1 4 1 4 6 4 5 7 10 13 17 21 26 31 37 42 47 49 2
28,1,2 49 47 42 37 31 26 21 26 22 26 21 17 13 10 7 5 4 1
29,1,1 4 1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
30,1,2 49 47 42 46 42 37 31 26 21 17 13 10 7 5 4 1
31,1,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
32,1,2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
33,1,1 4 5 7 9 7 10 13 17 21 26 31 37 42 47 49 2
34,0,2 49 47 42 37 31 26 21 25 20 24 19 23 19 24 29 35 40 44 39 43 48 3
35,1,3 48 3 48 3 48 43 39 44 40 35 29 24 20 25 21 26 31 37 42 47 49 2
36,1,2 49 47 42 37 31 26 21 25 21 17 13 10 7 5 4 1
37,0,1 4 1 4 1 4 1 4 1 4 1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
38,0,2 49 38 49 47 42 37 31 26 21 25 20 24 29 35 40 44 39 43 48 3
39,1,3 48 3 48 43 39 44 40 35 29 24 20 25 21 26 22 26 31 37 42 47 49 2
40,1,2 49 47 42 37 31 26 21 26 21 26 22 27 22 26 21 26 31 37 42 47 49 2 49 47 42 37 31 26 22 27 22 26 31 26 21 25 21 26 31 37 42 47 49 2 49 2 49 2 49 47 49 47 49 47 42 46 42 37 31 26 21 17 13 10 7 5 4 1
41,1,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
42,0,2 49 47 42 46 42 37 31 26 21 25 20 24 19 23 19 23 19 24 29 35 40 24 35 40 35 40 35 40 44 39 43 48 3
43,1,3 48 3 48 3 48 3 48 3 48 3 48 43 39 44 40 44 40 35 29 24 20 25 21 26 22 26 31 37 42 47 49 2
44,0,2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
45,1,1 4 1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
46,0,2 49 47 42 47 42 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
47,1,1 4 1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
48,0,2 49 47 42 37 31 26 21 26 31 37 42 47 49 2 49 38 49 2 49 2 49 47 49 47 42 37 31 26 21 17 21 25 20 24 19 23 19 24 20 25 21 26 31 37 42 47 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
49,1,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
50,0,2 49 47 42 46 42 37 31 26 21 25 20 24 29 35 40 44 39 43 48 3
51,1,3 48 3 48 3 48 3 48 3 48 3 48 3 48 3 48 3 48 3 48 43 39 44 40 35 29 24 20 25 21 26 22 26 31 37 42 47 49 2
52,1,2 49 38 49 2 49 2 49 2 49 47 49 2 49 47 49 47 49 47 49 47 49 47 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
53,1,1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 6 4 6 8 10 13 17 21 26 22 27 38 27 22 26 31 37 42 47 49 2
54,1,2 49 2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
55,0,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
56,1,2 49 2 49 38 49 2 49 47 42 37 31 26 21 25 20 24 19 23 19 24 20 25 21 26 22 26 31 37 42 47 49 2 49 2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
57,1,1 4 1 4 1 4 1 4 1 4 5 7 5 7 10 13 17 21 26 31 37 42 47 49 2
58,0,2 49 47 42 37 31 36 31 36 41 36 41 36 41 36 41 46 42 47 49 2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
59,0,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
60,0,2 49 38 49 47 42 37 31 26 21 25 20 24 29 35 40 44 39 43 48 3
61,1,3 48 43 48 43 39 44 40 35 29 24 20 25 21 26 22 27 22 26 31 37 42 47 49 2
62,0,2 49 2 49 2 49 2 49 2 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
63,0,1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
64,0,2 49 2 49 2 49 47 49 47 49 47 49 47 49 47 49 47 49 2 49 2 49 47 49 47 49 47 49 47 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
65,0,1 4 1 4 6 4 6 4 6 4 5 7 10 13 17 21 26 31 37 42 47 49 2
66,1,2 49 2 49 2 49 2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
67,0,1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
68,1,2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
69,1,1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
70,1,2 49 2 49 2 49 2 49 47 49 47 42 37 31 26 21 26 22 27 38 27 22 26 31 37 42 47 49 2 49 2 49 47 49 47 49 47 42 37 31 26 21 25 20 24 19 23 19 23 19 23 19 23 19 24 20 24 20 24 20 24 20 25 21 17 13 10 7 5 4 1
71,0,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
72,0,2 49 2 49 38 49 47 42 37 31 26 21 25 20 24 29 35 40 35 40 44 39 43 48 3
73,0,3 48 43 39 44 40 35 40 35 40 35 29 24 19 23 19 23 19 24 20 25 21 26 31 37 42 47 49 2
74,1,2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 47 49 47 49 47 42 37 31 26 21 26 22 18 22 26 31 37 42 47 49 2 49 2 49 2 49 2 49 2 49 47 42 37 31 26 21 25 21 17 13 10 7 5 4 1
75,0,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
76,1,2 49 2 49 2 49 38 49 47 42 37 31 26 21 17 13 10 7 5 4 1
77,0,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
78,1,2 49 38 49 47 42 37 31 26 21 17 13 10 7 5 4 1
79,0,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
80,1,2 49 2 49 38 49 38 49 47 42 37 31 26 21 17 13 10 7 5 4 1
81,0,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
82,1,2 49 47 42 46 41 46 41 36 31 26 21 25 20 24 29 35 40 44 39 43 48 3
83,1,3 48 3 48 3 48 43 48 43 39 44 40 35 29 24 20 25 21 26 22 18 22 26 21 17 13 10 7 5 4 1
84,0,1 4 1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
85,1,2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
86,0,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
87,1,2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
88,0,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
89,1,2 49 2 49 2 49 2 49 47 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
90,1,1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 6 8 10 13 17 21 26 22 26 31 37 42 47 49 2 49 2 49 2 49 47 42 37 31 26 21 25 20 24 19 23 19 24 19 24 20 25 21 26 22 27 38 27 38 27 22 26 21 17 13 10 7 5 4 1 4 6 4 6 4 6 8 10 13 17 21 26 31 37 42 47 49 2
91,1,2 49 2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
92,0,1 4 5 7 10 13 17 21 26 31 37 42 37 42 47 49 2
93,1,2 49 2 49 47 42 37 31 26 21 25 20 24 29 35 40 44 39 43 48 3
94,0,3 48 43 48 43 39 44 40 35 40 35 29 24 19 23 19 24 20 25 21 26 31 37 42 47 49 2
95,1,2 49 2 49 2 49 2 49 47 49 47 42 37 31 26 21 17 13 10 7 5 4 1
96,1,1 4 1 4 1 4 6 4 5 7 10 13 17 21 26 31 37 42 47 49 2
97,1,2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
98,1,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
99,1,2 49 2 49 2 49 47 42 37 31 26 21 17 13 10 7 5 4 1
100,0,1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
101,1,2 49 47 42 46 41 36 31 26 22 18 22 26 31 37 31 37 42 47 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 47 42 37 31 26 21 26 22 18 22 26 31 36 31 37 42 47 49 2 49 47 42 37 31 26 21 25 20 24 19 23 19 23 24 29 35 40 44 39 43 48 3
102,1,3 48 3 48 43 39 44 40 44 40 35 29 24 20 25 21 26 22 27 22 26 21 17 13 10 7 5 4 1
103,0,1 4 1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
104,1,2 49 47 42 37 31 26 22 27 22 27 22 27 22 27 22 27 22 27 22 27 22 27 22 26 22 26 31 37 42 47 49 2 49 2 49 2 49 2 49 47 42 37 31 26 21 25 20 24 29 35 40 44 39 43 48 3
105,1,3 48 3 48 43 39 44 40 35 29 24 19 24 20 25 21 26 22 27 22 26 22 26 22 26 22 26 22 26 21 17 13 10 7 5 4 1
106,0,1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
107,1,2 49 38 49 2 49 47 42 37 31 26 21 25 21 17 13 17 13 17 13 10 7 5 4 1
108,0,1 4 1 4 1 4 5 7 10 13 17 21 26 31 37 42 47 49 2
109,1,2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 2 49 47 42 37 31 26 21 25 20 24 19 23 19 23 19 24 20 25 21 26 22 27 22 26 31 36 41 46 42 47 49 2 49 2 49 2 49 2 49 38 49 47 42 37 31 26 21 17 13 10 7 5 4 1
110,0,1 4 1 4 6 8 10 13 17 21 26 31 37 42 47 49 2
