trial,reward,trajectory
63,0,3 48 33 28 23 19 24 20 16 13 10 8 6 8 6 4 1
64,1,1 4 6 8 10 13 16 20 25 30 36 41 46 42 47 49 2
65,1,2 49 38 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
66,1,3 48 43 39 34 28 23 19 24 20 25 30 36 41 46 42 47 49 2
67,1,2 49 38 32 27 32 37 42 46 42 47 49 2 49 38 32 37 42 46 41 36 30 25 20 24 19 23 28 33 48 3
68,0,3 48 33 28 23 19 24 20 25 30 36 41 46 42 47 49 2
69,1,2 49 2 49 2 49 2 49 38 32 37 42 47 49 2 49 2 49 38 49 47 49 47 42 46 41 36 30 25 30 35 40 44 39 43 48 3
70,0,3 48 3 48 33 28 23 19 24 19 24 19 23 19 24 19 23 28 34 39 44 40 35 30 25 21 17 13 10 7 5 4 1
71,1,1 4 6 8 10 13 16 13 17 21 26 21 26 21 25 30 35 40 35 40 35 40 44 39 43 48 3
72,1,3 48 33 28 34 39 44 40 35 30 36 30 25 21 17 13 10 7 5 4 1
73,1,1 4 6 8 10 13 17 21 25 30 35 40 44 39 43 48 3
74,0,3 48 43 39 44 40 35 30 36 30 36 30 36 30 36 30 36 30 36 30 36 30 36 30 25 21 26 21 17 13 10 7 5 4 1
75,1,1 4 1 4 5 7 10 13 17 21 25 30 35 40 44 39 43 48 3
76,1,3 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
77,1,2 49 2 49 38 32 37 42 46 41 36 30 35 40 44 39 43 48 3
78,0,3 48 33 28 23 28 34 39 44 40 35 30 36 41 46 42 47 49 2
79,1,2 49 38 49 38 32 27 32 37 42 46 41 36 30 35 40 44 39 43 48 3
80,0,3 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
81,0,2 49 38 32 37 42 46 41 36 30 25 21 17 13 10 7 5 4 1
82,0,1 4 1 4 6 8 10 13 17 21 25 30 35 40 44 39 43 48 3
83,1,3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
84,0,2 49 47 42 46 41 36 30 35 40 44 39 43 48 3
85,1,3 48 33 48 33 28 34 39 44 40 35 30 36 41 46 42 47 49 2
86,1,2 49 47 42 46 41 36 30 35 40 44 39 43 48 3
87,0,3 48 33 28 23 19 24 19 24 19 23 19 23 28 34 39 44 39 43 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
88,0,2 49 38 32 38 32 27 32 37 42 46 41 36 30 25 21 17 21 26 21 17 13 10 8 6 4 6 4 1
89,0,1 4 5 7 10 13 17 21 25 30 35 40 44 39 43 48 3
90,0,3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
91,0,2 49 38 49 38 49 38 49 38 32 27 32 37 26 21 17 21 17 21 17 21 26 21 17 13 10 8 6 4 6 4 6 4 6 4 1 4 5 7 10 13 17 21 25 30 35 40 44 39 43 48 3
92,0,3 48 33 28 34 39 40 35 30 36 41 46 42 47 49 2
93,0,2 49 38 32 27 32 37 42 46 41 36 30 25 21 17 13 10 8 6 4 1
94,1,1 4 6 8 10 13 17 21 25 30 35 40 44 39 43 48 3
95,1,3 48 33 28 34 39 44 40 35 30 25 30 36 41 46 42 47 49 2
96,1,2 49 2 49 2 49 2 49 2 49 47 49 47 49 47 49 47 49 47 49 2 49 2 49 2 49 2 49 47 49 47 49 2 49 2 49 2 49 2 49 38 49 38 32 27 32 37 42 47 49 2 49 38 32 37 42 46 41 36 30 35 40 44 39 43 48 3
97,0,3 48 33 28 23 19 23 19 24 19 23 28 34 39 44 40 35 30 25 21 17 21 17 13 10 7 5 4 1
98,1,1 4 1 4 6 8 10 13 17 21 25 30 36 41 46 42 47 49 2
99,0,2 49 38 32 27 32 37 42 46 41 36 30 25 21 17 13 10 7 5 4 1
100,1,1 4 1 4 1 4 1 4 1 4 1 4 6 8 10 13 17 21 26 21 25 30 35 40 44 39 43 48 3
101,0,3 48 33 48 3 48 3 48 3 48 43 48 33 48 33 48 3 48 3 48 43 48 3 48 3 48 33 48 33 48 33 28 33 48 33 28 33 28 33 28 33 28 34 39 44 40 35 30 25 21 17 13 10 7 5 4 1
102,1,1 4 6 8 10 13 17 21 25 30 36 41 46 42 47 49 2
103,1,2 49 38 32 27 32 37 42 46 41 36 30 35 40 44 39 43 48 3
104,0,3 48 43 39 44 40 35 30 25 21 17 13 10 7 5 4 1
105,1,1 4 6 8 10 13 16 13 17 21 25 30 35 40 44 39 43 48 3
106,0,3 48 43 39 44 40 35 30 25 21 17 13 10 7 5 4 1
107,0,1 4 5 7 10 13 17 21 25 30 36 41 46 42 47 49 2
108,1,2 49 2 49 47 49 47 42 46 41 36 30 35 40 44 39 43 48 3
109,0,3 48 33 28 23 19 23 19 23 19 23 19 23 19 23 28 34 39 44 39 43 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
110,1,2 49 38 49 38 32 37 42 46 41 36 30 35 40 44 39 43 48 3
111,1,3 48 3 48 3 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
112,1,2 49 38 49 38 32 37 42 46 41 36 30 25 30 35 40 44 39 43 48 3
113,0,3 48 43 39 44 40 35 30 25 21 17 13 10 7 5 4 1
114,1,1 4 1 4 1 4 1 4 5 7 10 13 17 21 25 30 35 40 44 39 43 48 3
115,1,3 48 33 48 3 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
116,1,2 49 38 49 38 32 37 42 46 41 36 30 36 30 36 30 36 30 35 40 44 39 43 48 3
117,0,3 48 43 39 44 40 35 30 25 21 17 13 10 7 5 4 1
118,0,1 4 5 7 10 13 25 30 36 30 36 41 46 42 47 49 2
119,0,2 49 38 32 37 42 46 41 36 30 25 21 17 13 10 7 5 4 1
120,1,1 4 5 7 10 13 17 21 25 30 35 40 44 39 43 48 3
121,0,3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
122,1,2 49 2 49 38 32 37 32 37 42 46 41 36 30 35 40 44 39 43 48 3
123,0,3 48 43 39 44 40 35 30 25 21 17 13 10 8 6 4 1
124,0,1 4 6 8 10 13 17 21 25 30 36 41 46 42 47 49 2
125,1,2 49 38 32 27 32 37 42 46 41 36 30 35 40 44 39 43 48 3
126,0,3 48 33 28 23 28 34 39 44 39 43 39 43 39 44 39 44 39 43 48 43 48 3 48 43 39 44 40 35 30 25 21 17 13 16 13 10 7 5 4 1
127,1,1 4 1 4 1 4 1 4 1 4 5 7 10 13 17 21 25 30 36 41 46 42 47 49 2
128,1,2 49 47 42 46 41 36 30 35 40 44 39 43 48 3
129,1,3 48 3 48 3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
130,1,2 49 38 32 27 32 37 42 46 42 47 49 2 49 38 32 27 32 37 42 46 41 36 30 35 40 44 39 43 48 3
131,0,3 48 43 39 44 40 35 30 36 41 46 42 47 49 2
132,1,2 49 38 32 37 42 46 41 36 30 35 40 44 39 43 48 3
133,0,3 48 33 28 34 39 44 40 35 30 25 21 17 13 10 7 5 4 1
134,1,1 4 6 8 10 13 17 21 25 30 36 41 46 42 47 49 2
135,1,2 49 47 42 46 41 46 42 47 49 2 49 2 49 2 49 2 49 38 49 38 32 27 22 18 22 26 21 25 30 35 40 44 39 43 48 3
136,1,3 48 3 48 3 48 33 48 43 39 44 40 35 30 25 21 26 22 27 22 18 22 27 32 38 49 2
137,0,2 49 2 49 2 49 2 49 47 42 46 41 46 47 46 47 46 42 37 32 27 22 26 21 17 13 10 7 5 4 1
138,1,1 4 6 8 10 13 17 21 26 22 27 32 38 49 2
139,1,2 49 38 32 27 22 18 22 26 21 25 30 35 40 44 39 43 48 3
140,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
141,1,2 49 38 32 37 42 47 49 2 49 38 32 27 22 26 21 17 21 25 30 35 40 44 39 43 48 3
142,1,3 48 33 28 34 39 44 40 35 30 25 21 26 22 27 32 38 49 2
143,0,2 49 2 49 2 49 47 49 47 42 46 42 37 32 27 22 26 21 17 13 10 7 5 4 1
144,1,1 4 1 4 6 8 10 13 17 21 26 22 27 32 38 49 2
145,1,2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
146,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
147,1,2 49 38 32 27 22 27 32 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
148,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
149,1,2 49 47 42 46 42 37 32 27 22 26 22 26 21 25 30 35 40 44 39 43 48 3
150,1,3 48 3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
151,0,2 49 38 32 27 22 26 21 17 13 10 13 10 7 5 4 1
152,1,1 4 5 7 10 13 17 21 25 30 35 40 44 39 43 48 3
153,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
154,1,2 49 47 42 46 42 37 32 27 22 26 21 25 30 35 40 44 39 43 48 3
155,1,3 48 43 39 44 40 35 30 25 21 17 13 16 13 16 13 17 21 26 22 27 32 38 49 2
156,1,2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
157,0,3 48 33 48 3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
158,1,2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
159,1,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
160,1,2 49 38 32 27 22 27 22 26 22 26 21 25 30 35 40 44 39 43 48 3
161,1,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
162,0,2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
163,0,3 48 43 39 44 40 35 30 25 21 17 13 10 7 5 4 1
164,1,1 4 6 8 10 13 17 21 26 22 27 32 38 49 2
165,1,2 49 2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
166,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
167,1,2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
168,1,3 48 3 48 33 48 43 39 44 40 35 30 25 21 17 13 10 7 10 7 5 4 5 4 1 4 5 7 10 13 17 21 26 22 27 32 38 49 2
169,1,2 49 38 32 27 22 18 22 27 32 27 32 38 49 2 49 47 42 46 42 37 32 27 22 26 21 25 30 35 40 44 39 43 48 3
170,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
171,1,2 49 2 49 47 42 46 42 37 32 27 22 26 21 17 21 25 30 35 40 44 39 43 48 3
172,0,3 48 3 48 3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
173,1,2 49 38 32 27 22 26 21 17 13 10 13 10 13 16 13 17 13 10 13 10 8 6 4 6 4 6 4 6 4 6 8 10 13 17 21 26 22 27 32 38 49 2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
174,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
175,1,2 49 2 49 2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
176,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
177,0,2 49 38 32 27 22 26 21 17 13 10 8 6 4 6 4 6 4 1
178,1,1 4 1 4 5 7 10 13 17 21 26 22 27 32 38 49 2
179,1,2 49 38 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
180,0,3 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
181,1,2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
182,1,3 48 3 48 3 48 3 48 3 48 3 48 33 48 43 39 44 40 35 30 25 21 26 22 27 32 38 49 2
183,1,2 49 38 32 27 22 27 22 27 32 38 49 2 49 38 32 27 22 26 21 25 30 35 40 44 39 43 48 3
184,0,3 48 33 28 23 19 24 19 23 28 34 39 44 39 43 48 3 48 43 39 44 40 35 30 25 21 26 22 27 32 27 32 38 49 2
185,0,2 49 38 32 27 22 26 21 25 30 35 40 44 39 44 39 43 48 3
186,0,3 48 43 39 44 40 35 30 25 30 25 21 26 22 27 32 38 49 2
187,0,2 49 47 49 47 42 46 41 46 41 46 42 37 32 38 49 2 49 38 32 27 22 26 21 25 21 17 13 10 7 5 4 1
188,1,1 4 1 4 6 8 10 13 17 21 26 22 27 32 38 49 2
