barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({34, 9, 42, 45, 13, 18, 27, 28, 30})]",1,"[[15, 19, 19]]",[{21}]
"[frozenset({7, 44, 45, 18, 20, 21, 26, 28, 31})]",1,"[[21, 17, 15]]",[{29}]
"[frozenset({8, 10, 11, 44, 14, 15, 25, 29, 31})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({34, 10, 42, 12, 44, 16, 26, 27, 30})]",1,"[[23, 17, 19]]",[{24}]
"[frozenset({34, 8, 9, 45, 17, 19, 21, 25, 31})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({39, 42, 11, 13, 19, 22, 25, 27, 30}), frozenset({39, 42, 13, 16, 19, 22, 25, 27, 30}), frozenset({39, 42, 13, 16, 19, 22, 26, 27, 30})]",3,"[[21, 15, 17], [15, 21, 17], [23, 17, 17]]","[{29}, {31}, {29}]"
"[frozenset({42, 11, 44, 15, 16, 23, 26, 27, 30}), frozenset({42, 11, 44, 15, 16, 21, 23, 27, 30})]",2,"[[23, 17, 17], [17, 23, 17]]","[{29}, {31}]"
"[frozenset({39, 9, 10, 42, 18, 20, 23, 25, 31})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({32, 34, 8, 44, 46, 15, 16, 21, 27})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({35, 39, 8, 10, 42, 44, 15, 18, 25}), frozenset({35, 39, 10, 42, 44, 12, 15, 18, 25})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({36, 42, 10, 12, 15, 18, 22, 25, 29}), frozenset({36, 10, 11, 42, 15, 18, 22, 25, 29})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({8, 11, 12, 45, 46, 21, 27, 29, 30})]",1,"[[17, 15, 21]]",[{13}]
